ISO 3166-2 Code,Country,Subdivision,Last Update,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
BR-GO,Brazil,Goias,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,1,1,1,1.0,1.0,1,1.0,2.0,2.0,3.0,5.0,5,7.0,7.0,8.0,10.0,14.0,15.0,15.0,15.0,16.0,16.0,18.0,18.0,19.0,19.0,21.0,23.0,24.0,25.0,25.0,26.0,27.0,27.0,29.0,29.0,30.0,30.0,30.0,38.0,44.0,44.0,49.0,47.0,47.0,49.0,52.0,61.0,64.0,67.0,69.0,70.0,73.0,73.0
BR-MA,Brazil,Maranhao,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,1.0,1.0,1,1.0,1.0,1.0,2.0,2.0,4,11.0,12.0,16.0,21.0,24.0,27.0,32.0,34.0,37.0,40.0,44.0,48.0,54.0,60.0,66.0,76.0,88.0,100.0,112.0,125.0,145.0,166.0,184.0,204.0,224.0,237.0,249.0,271.0,291.0,305.0,330.0,355.0,379.0,399.0,423.0,444.0,470.0,496.0,524.0,549.0,576.0,604.0
BR-MT,Brazil,Mato Grosso,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,16.0,18.0,19.0,19.0,20.0,23.0,26.0,27.0,27.0,29.0,32.0
BR-MS,Brazil,Mato Grosso do Sul,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,13.0,14.0,14.0,15.0,15.0,16.0,16.0
BR-MG,Brazil,Minas Gerais,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,1.0,2.0,3,4.0,6.0,6.0,6.0,9.0,11,14.0,15.0,17.0,17.0,20.0,23.0,27.0,30.0,33.0,35.0,39.0,39.0,41.0,44.0,47.0,51.0,54.0,58.0,61.0,62.0,71.0,80.0,82.0,88.0,88.0,89.0,90.0,94.0,97.0,106.0,111.0,118.0,119.0,121.0,127.0,135.0,139.0,146.0,150.0,156.0,161.0,167.0
BR-PA,Brazil,Para,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,1.0,3.0,5,6.0,7.0,9.0,10.0,13.0,15.0,19.0,21.0,24.0,26.0,33.0,34.0,35.0,38.0,43.0,53.0,75.0,86.0,100.0,114.0,129.0,137.0,208.0,235.0,273.0,309.0,330.0,369.0,392.0,410.0,515.0,578.0,652.0,708.0,864.0,946.0,1063.0,1145.0,1199.0,1239.0,1329.0,1519.0
BR-PB,Brazil,Paraiba,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1,1.0,1.0,2.0,4.0,4.0,4,4.0,7.0,11.0,11.0,13.0,13.0,16.0,21.0,24.0,26.0,26.0,29.0,32.0,33.0,39.0,40.0,44.0,46.0,49.0,50.0,53.0,58.0,62.0,67.0,74.0,76.0,79.0,85.0,92.0,101.0,114.0,124.0,135.0,139.0,154.0,157.0,160.0,170.0,183.0,194.0,207.0,219.0
BR-PR,Brazil,Parana,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2,2,2,3.0,3.0,3,4.0,4.0,6.0,9.0,11.0,15,17.0,22.0,25.0,26.0,30.0,31.0,36.0,38.0,41.0,42.0,46.0,48.0,51.0,51.0,57.0,60.0,64.0,69.0,72.0,75.0,77.0,82.0,83.0,89.0,90.0,93.0,94.0,99.0,101.0,104.0,106.0,107.0,109.0,111.0,113.0,117.0,119.0,120.0,123.0,124.0,127.0,129.0
BR-PE,Brazil,Pernambuco,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,3.0,4,5,5,6.0,6.0,8,9.0,10.0,14.0,21.0,30.0,34,46.0,56.0,65.0,72.0,85.0,102.0,115.0,143.0,160.0,186.0,205.0,216.0,234.0,260.0,282.0,312.0,352.0,381.0,415.0,450.0,508.0,538.0,565.0,603.0,628.0,652.0,691.0,749.0,803.0,845.0,927.0,972.0,1047.0,1087.0,1157.0,1224.0,1298.0,1381.0,1461.0,1516.0,1640.0,1741.0
BR-PI,Brazil,Piaui,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,1,3.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4,5.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,12.0,14.0,15.0,15.0,16.0,17.0,18.0,20.0,21.0,24.0,24.0,24.0,26.0,28.0,28.0,29.0,30.0,35.0,37.0,38.0,42.0,45.0,49.0,57.0,60.0,60.0,65.0,72.0,80.0,85.0
BR-RJ,Brazil,Rio de Janeiro,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,1.0,1.0,2,2.0,4.0,5.0,7.0,7.0,8,11.0,11.0,11.0,13.0,15.0,17.0,18.0,19.0,20.0,23.0,24.0,25.0,27.0,28.0,29.0,34.0,38.0,40.0,44.0,45.0,738.0,794.0,854.0,921.0,971.0,1019.0,1065.0,1123.0,1205.0,1394.0,1503.0,1653.0,1714.0,1770.0,1928.0,2050.0,2247.0,2438.0,2614.0,2715.0,2852.0,3079.0
BR-RN,Brazil,Rio Grande do Norte,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,1.0,1,1,1,3.0,4.0,4,5.0,5.0,6.0,7.0,7.0,8,9.0,12.0,14.0,15.0,16.0,16.0,18.0,19.0,19.0,22.0,24.0,24.0,27.0,27.0,27.0,29.0,31.0,34.0,35.0,42.0,48.0,53.0,56.0,56.0,59.0,61.0,62.0,68.0,72.0,76.0,81.0,87.0,88.0,92.0,93.0,105.0,117.0,122.0,136.0,139.0,146.0,160.0
BR-RS,Brazil,Rio Grande do Sul,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.0,3.0,4.0,6,6.0,9.0,10,13,17,18.0,23.0,28,41.0,47.0,58.0,64.0,71.0,89,106.0,122.0,147.0,155.0,170.0,188.0,224.0,265.0,300.0,341.0,387.0,402.0,422.0,461.0,490.0,530.0,570.0,615.0,645.0,677.0,45.0,50.0,51.0,58.0,62.0,65.0,74.0,79.0,87.0,90.0,91.0,95.0,97.0,105.0,111.0,111.0,120.0,126.0,132.0,142.0,144.0,151.0
BR-RO,Brazil,Rondonia,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,10.0,10.0,11.0,15.0,16.0,18.0,23.0,24.0,25.0,29.0,33.0,37.0,39.0,41.0,43.0,47.0,50.0,50.0,56.0,62.0,69.0,74.0,77.0,87.0
BR-RR,Brazil,Roraima,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,7.0,8.0,9.0,11.0,11.0,11.0,13.0,14.0,16.0,18.0,21.0,24.0,27.0,29.0,37.0,40.0,49.0,51.0,60.0,61.0
BR-SC,Brazil,Santa Catarina,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,2,2,2,1.0,2.0,2,2.0,5.0,5.0,10.0,10.0,11,15.0,17.0,18.0,21.0,24.0,24.0,26.0,28.0,29.0,30.0,31.0,32.0,35.0,35.0,37.0,39.0,42.0,42.0,42.0,43.0,44.0,44.0,46.0,48.0,52.0,52.0,52.0,55.0,59.0,63.0,63.0,64.0,65.0,69.0,73.0,73.0,78.0,79.0,81.0,83.0,85.0,91.0
BR-SP,Brazil,Sao Paulo,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,9,15.0,22.0,30.0,40,48.0,58.0,68,84,98,113.0,136.0,164,188.0,219.0,260.0,275.0,304.0,371,428.0,496.0,540.0,560.0,588.0,608.0,695.0,778.0,853.0,928.0,991.0,1015.0,1037.0,1093.0,1134.0,1345.0,1512.0,1667.0,1700.0,1825.0,2049.0,2247.0,2375.0,2511.0,2586.0,2627.0,2654.0,2851.0,3045.0,3206.0,3416.0,3608.0,3709.0,3743.0,3949.0,4118.0,4315.0,4501.0,4688.0,4782.0,4823.0,5147.0
BR-SE,Brazil,Sergipe,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2.0,2.0,2.0,3.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,14.0,14.0,14.0,17.0,21.0,23.0,25.0,28.0,33.0,34.0,37.0,37.0,42.0,47.0,50.0,53.0,57.0,59.0,63.0
BR-TO,Brazil,Tocantins,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,7.0,9.0,9.0,9.0,9.0,11.0,12.0,14.0,21.0,23.0,24.0,27.0,31.0,32.0,38.0
CL-AN,Chile,Antofagasta,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,13.0,0.0,16.0
CL-AR,Chile,Araucania,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,2,2.0,4.0,6,7.0,7.0,9.0,13.0,14.0,14,15.0,16.0,16.0,17.0,17.0,17.0,20.0,21.0,21.0,22.0,23.0,23.0,23.0,25.0,26.0,26.0,26.0,27.0,29.0,32.0,32.0,32.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,38.0,39.0,39.0,41.0,43.0,43.0,44.0,0.0,44.0
CL-AP,Chile,Arica y Parinacota,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0
CL-AT,Chile,Atacama,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL-AI,Chile,Aysen,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL-BI,Chile,Biobio,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,2.0,2,2,2,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0
CL-CO,Chile,Coquimbo,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0
CL-LL,Chile,Los Lagos,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,2.0,2,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,12.0
CL-LR,Chile,Los Rios,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,2,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0
CL-MA,Chile,Magallanes,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,2.0,2.0,2.0,2,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,0.0,17.0
CL-ML,Chile,Maule,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,14.0
CL-NB,Chile,Nuble,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,2.0,3.0,4.0,5,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,0.0,21.0
CL-LI,Chile,O'Higgins,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,7.0
CL-RM,Chile,Santiago,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,2.0,2.0,3,3,3,3.0,4.0,5,6.0,8.0,9.0,10.0,10.0,12,14.0,21.0,29.0,32.0,35.0,36.0,40.0,41.0,48.0,51.0,58.0,63.0,67.0,69.0,78.0,85.0,86.0,89.0,91.0,95.0,100.0,104.0,110.0,114.0,122.0,135.0,143.0,146.0,150.0,152.0,157.0,163.0,166.0,172.0,178.0,184.0,202.0,221.0,246.0,270.0,0.0,318.0
CL-TA,Chile,Tarapaca,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,4.0
CL-VS,Chile,Valparaiso,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,8.0,9.0,9.0,9.0,10.0,12.0,12.0,12.0,13.0,13.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,23.0,24.0,25.0,27.0,28.0,29.0,0.0,32.0
CO-AMA,Colombia,Amazonas,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,5.0,0.0,7.0,10.0,15.0,0.0,16.0,0.0,0.0,19.0,24.0,30.0,32.0,0.0,0.0,34.0,35.0,37.0,39.0,0.0,0.0,41.0,44.0,0.0
CO-ANT,Colombia,Antioquia,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO-ARA,Colombia,Arauca,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO-ATL,Colombia,Atlantico,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,1,0,0,0.0,0.0,0,2.0,4.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,8.0,11.0,12.0,13.0,0.0,15.0,20.0,23.0,30.0,33.0,34.0,38.0,41.0,43.0,44.0,45.0,0.0,47.0,48.0,49.0,50.0,51.0,0.0,55.0,56.0,0.0
CO-DC,Colombia,Bogota,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,3.0,0,6,7,8.0,10.0,11,15.0,19.0,29.0,33.0,39.0,43,45.0,48.0,50.0,54.0,55.0,59.0,65.0,68.0,72.0,74.0,76.0,80.0,82.0,86.0,87.0,89.0,93.0,94.0,100.0,103.0,108.0,113.0,119.0,122.0,125.0,128.0,132.0,133.0,139.0,141.0,145.0,151.0,159.0,165.0,0.0,168.0,170.0,175.0,179.0,180.0,183.0,0.0
CO-BOL,Colombia,Bolivar,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2,0,0,4.0,5.0,0,0.0,0.0,0.0,6.0,7.0,0,0.0,8.0,9.0,10.0,11.0,12.0,0.0,0.0,15.0,16.0,17.0,0.0,18.0,0.0,19.0,21.0,22.0,23.0,0.0,25.0,0.0,26.0,29.0,31.0,32.0,36.0,39.0,41.0,44.0,49.0,52.0,55.0,57.0,62.0,65.0,66.0,71.0,0.0,75.0,76.0,78.0,0.0
CO-BOY,Colombia,Boyaca,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0
